Yield,Flow,Adjustment,Duration,Distance,Width, Area,Elevation,Date,GrowerName,FieldName,CropName
122.78,13,14.86,1,153.7452,1097.2,0,2489.5188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
125.41,13.02,14.75,1,150.7452,1097.2,0,2489.5188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
126.6,13.23,14.65,1,151.7452,1097.2,0,2486.8188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
130.81,13.4,14.98,1,148.7452,1097.2,0,2486.7188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
140.28,14.37,15.26,1,148.7452,1097.2,0,2491.8188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
148.01,15.57,15.45,1,152.7452,1097.2,0,2486.8188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
153.14,15.9,15.51,1,150.7452,1097.2,0,2488.6188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
147.12,15.78,15.35,1,155.7452,1097.2,0,2489.7188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
154.67,16.27,15.29,1,152.7452,1097.2,0,2490.0188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
137.08,14.42,15.28,1,152.7452,1097.2,0,2488.8188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
131.97,13.61,15.43,1,149.7452,1097.2,0,2486.4188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
119.86,12.62,15.58,1,152.7452,1097.2,0,2487.1188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
110.37,11.54,15.54,1,151.7452,1097.2,0,2486.3188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
134.28,13.94,15.45,1,150.7452,1097.2,0,2484.4188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
143.39,14.59,15.46,1,147.7452,1097.2,0,2489.1188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
155.26,16.76,15.48,1,156.7452,1097.2,0,2491.0188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
161.87,17.03,15.51,1,152.7452,1097.2,0,2488.4188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
170.48,17.94,15.53,1,152.7452,1097.2,0,2486.6188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
169.7,18.33,15.55,1,156.7452,1097.2,0,2490.0188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
177.19,18.77,15.54,1,153.7452,1097.2,0,2488.2188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
182.38,19.06,15.49,1,151.7452,1097.2,0,2488.8188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
181.91,19.01,15.48,1,151.7452,1097.2,0,2488.8188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
185.23,19.74,15.4,1,154.7452,1097.2,0,2489.3188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
169.43,17.59,15.18,1,150.7452,1097.2,0,2487.1188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
166.84,17.78,15.12,1,154.7452,1097.2,0,2487.1188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
161.54,16.77,15.09,1,150.7452,1097.2,0,2487.8188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
150.79,16.07,15.1,1,154.7452,1097.2,0,2486.2188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
178.62,18.79,15.15,1,152.7452,1097.2,0,2487.8188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
173.3,18.23,15.18,1,152.7452,1097.2,0,2488.4188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
175.01,18.53,15.37,1,153.7452,1097.2,0,2490.5188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
209.86,22.22,15.34,1,153.7452,1097.2,0,2487.9188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
197.01,20.86,15.46,1,153.7452,1097.2,0,2490.3188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
180.12,19.32,15.44,1,155.7452,1097.2,0,2490.6188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
161.87,17.92,15.42,1,160.7452,1097.2,0,2486.9188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
169.4,18.52,15.39,1,158.7452,1097.2,0,2487.0188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
157.97,17.27,15.32,1,158.7452,1097.2,0,2488.4188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
168.67,18.44,15.33,1,158.7452,1097.2,0,2489.2188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
172,18.33,15.29,1,154.7452,1097.2,0,2490.0188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
172.8,19.01,15.27,1,159.7452,1097.2,0,2488.8188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
185,19.97,15.29,1,156.7452,1097.2,0,2489.9188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
197.85,21.63,15.27,1,158.7452,1097.2,0,2490.6188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
195.52,21.51,15.23,1,159.7452,1097.2,0,2489.5188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
202.33,21.98,15.17,1,157.7452,1097.2,0,2489.5188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
201.68,21.91,15.13,1,157.7452,1097.2,0,2489.9188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
219.47,23.54,15.1,1,155.7452,1097.2,0,2492.8188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
202.79,22.45,14.96,1,160.7452,1097.2,0,2491.3188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
208.12,22.61,14.85,1,157.7452,1097.2,0,2492.7188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
202.62,22.57,14.78,1,161.7452,1097.2,0,2491.8188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
184.69,20.7,14.6,1,162.7452,1097.2,0,2493.6188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
201.26,22.28,14.41,1,160.7452,1097.2,0,2494.1188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
180.8,20.14,14.21,1,161.7452,1097.2,0,2494.7188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
172.31,19.55,14.04,1,164.7452,1097.2,0,2491.7188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
179.16,19.71,13.9,1,159.7452,1097.2,0,2494.5188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
177.71,20.04,13.77,1,163.7452,1097.2,0,2494.7188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
157.92,17.7,13.67,1,162.7452,1097.2,0,2495.9188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
147.5,16.43,13.47,1,161.7452,1097.2,0,2496.6188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
157.19,17.51,13.3,1,161.7452,1097.2,0,2497.8188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
159.44,17.87,13.17,1,162.7452,1097.2,0,2496.6188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
161.13,18.06,13.08,1,162.7452,1097.2,0,2494.2188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
145.16,16.37,13,1,163.7452,1097.2,0,2497.5188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
140.38,15.83,12.96,1,163.7452,1097.2,0,2499.9188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
139.93,14.72,12.8,1,152.7452,1097.2,0,2499.8188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
144.01,15.05,12.67,1,151.7452,1097.2,0,2500.1188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
141.52,14.79,12.65,1,151.7452,1097.2,0,2500.4188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
138.75,14.5,12.58,1,151.7452,1097.2,0,2500.0188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
159.3,15.88,12.56,1,144.7452,1097.2,0,2500.6188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
154.38,15.07,12.54,1,141.7452,1097.2,0,2502.5188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
146.9,14.34,12.47,1,141.7452,1097.2,0,2502.7188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
150.11,14.55,12.44,1,140.7452,1097.2,0,2503.9188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
141.65,13.73,12.46,1,140.7452,1097.2,0,2504.5188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
148.79,14.32,12.56,1,139.7452,1097.2,0,2506.1188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
148.87,14.43,12.45,1,140.7452,1097.2,0,2509.0188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
155.53,15.29,12.3,1,142.7452,1097.2,0,2502.9188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
149.77,14.62,12.25,1,141.7452,1097.2,0,2506.4188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
151.81,15.76,12.32,1,150.7452,1097.2,0,2508.2188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
158.12,15.98,12.43,1,146.7452,1097.2,0,2511.4188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
157.28,16.22,12.55,1,149.7452,1097.2,0,2510.4188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
164.94,17.01,12.56,1,149.7452,1097.2,0,2510.9188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
154.23,16.33,12.55,1,153.7452,1097.2,0,2513.1188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
170.8,18.32,12.52,1,155.7452,1097.2,0,2514.6188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
171.27,18.37,12.52,1,155.7452,1097.2,0,2515.1188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
178.35,19.13,12.52,1,155.7452,1097.2,0,2514.2188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
177.73,19.43,12.54,1,158.7452,1097.2,0,2516.7188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
157.34,17.31,12.55,1,159.7452,1097.2,0,2515.8188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
180.55,19.49,12.57,1,156.7452,1097.2,0,2515.1188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
172.86,18.66,12.85,1,156.7452,1097.2,0,2516.4188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
181.93,19.89,12.8,1,158.7452,1097.2,0,2515.7188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
181.11,19.55,12.75,1,156.7452,1097.2,0,2518.0187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
169.83,18.45,12.73,1,157.7452,1097.2,0,2518.0187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
168.82,18.34,12.66,1,157.7452,1097.2,0,2518.6188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
